obat,kontraindikasi
Ibuprofen,Tidak boleh digunakan dengan alkohol
Doxycycline,Hindari jika memiliki tukak lambung aktif
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Tidak boleh digunakan dengan alkohol
Metoprolol,Interaksi serius dengan obat pengencer darah
Paracetamol,Interaksi serius dengan obat pengencer darah
Doxycycline,Tidak boleh digunakan dengan alkohol
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Tidak disarankan untuk ibu hamil
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari jika memiliki gangguan hati berat
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Tidak boleh digunakan dengan alkohol
Metformin,Hindari jika memiliki gangguan hati berat
Furosemide,Tidak disarankan untuk ibu hamil
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Tidak disarankan untuk ibu hamil
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Interaksi serius dengan obat pengencer darah
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Tidak disarankan untuk ibu hamil
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Prednisone,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Hindari jika memiliki tukak lambung aktif
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Interaksi serius dengan obat pengencer darah
Warfarin,Hindari jika memiliki gangguan hati berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak boleh digunakan dengan alkohol
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Hindari jika memiliki tukak lambung aktif
Ibuprofen,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Prednisone,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Warfarin,Tidak boleh digunakan dengan alkohol
Paracetamol,Hindari jika memiliki gangguan hati berat
Aspirin,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Interaksi serius dengan obat pengencer darah
Metformin,Hindari jika memiliki gangguan hati berat
Paracetamol,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Amoxicillin,Tidak disarankan untuk ibu hamil
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Tidak disarankan untuk ibu hamil
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Prednisone,Hindari jika memiliki gangguan hati berat
Prednisone,Interaksi serius dengan obat pengencer darah
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Tidak disarankan untuk ibu hamil
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak boleh digunakan dengan alkohol
Diazepam,Hindari jika memiliki gangguan hati berat
Furosemide,Interaksi serius dengan obat pengencer darah
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Diazepam,Interaksi serius dengan obat pengencer darah
Doxycycline,Hindari jika memiliki gangguan hati berat
Prednisone,Interaksi serius dengan obat pengencer darah
Warfarin,Tidak disarankan untuk ibu hamil
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Amoxicillin,Tidak disarankan untuk ibu hamil
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Tidak boleh digunakan dengan alkohol
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Prednisone,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Simvastatin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Clopidogrel,Interaksi serius dengan obat pengencer darah
Amoxicillin,Hindari jika memiliki tukak lambung aktif
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Hindari jika memiliki tukak lambung aktif
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Interaksi serius dengan obat pengencer darah
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak boleh digunakan dengan alkohol
Prednisone,Hindari jika memiliki gangguan hati berat
Paracetamol,Hindari jika memiliki gangguan hati berat
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Hindari jika memiliki gangguan hati berat
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Interaksi serius dengan obat pengencer darah
Doxycycline,Hindari jika memiliki tukak lambung aktif
Paracetamol,Interaksi serius dengan obat pengencer darah
Simvastatin,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Tidak boleh digunakan dengan alkohol
Cetirizine,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Tidak boleh digunakan dengan alkohol
Aspirin,Interaksi serius dengan obat pengencer darah
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Simvastatin,Tidak disarankan untuk ibu hamil
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Tidak boleh digunakan dengan alkohol
Omeprazole,Hindari jika memiliki gangguan hati berat
Ibuprofen,Tidak disarankan untuk ibu hamil
Warfarin,Tidak boleh digunakan dengan alkohol
Prednisone,Hindari jika memiliki tukak lambung aktif
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak disarankan untuk ibu hamil
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Prednisone,Hindari jika memiliki gangguan hati berat
Losartan,Hindari jika memiliki tukak lambung aktif
Furosemide,Interaksi serius dengan obat pengencer darah
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Hindari jika memiliki gangguan hati berat
Cetirizine,Hindari jika memiliki gangguan hati berat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Interaksi serius dengan obat pengencer darah
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Doxycycline,Tidak boleh digunakan dengan alkohol
Paracetamol,Tidak boleh digunakan dengan alkohol
Diazepam,Tidak disarankan untuk ibu hamil
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Interaksi serius dengan obat pengencer darah
Furosemide,Tidak boleh digunakan dengan alkohol
Losartan,Interaksi serius dengan obat pengencer darah
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
